date,h0,h1,h2,h3,h4,h5
2023-01-04,7.222558e-11,2.4050194e-06,3.969355e-10,1.0,1.0,0.9999994
2019-09-20,3.7623047e-29,3.820556e-13,4.572296e-23,5.2950372e-17,1.3293578e-06,4.2505519e-10
2020-03-06,2.390439e-19,0.9654557,0.00048398032,0.9999465,0.9999703,1.0
2023-07-05,5.8288867e-28,4.033388e-13,9.218141e-13,1.97836e-11,2.41127e-15,5.5182577e-06
2024-07-01,1.3221725e-33,3.2578146e-12,7.3420797e-22,2.0238947e-17,3.2401657e-12,0.0016847452
2024-03-14,4.2497273e-20,0.45922962,1.2768053e-09,4.246784e-05,0.5030823,1.0
2023-06-29,9.622683e-28,4.626011e-10,4.1732113e-12,6.761257e-12,3.8794756e-14,0.11806557
2021-03-18,8.410374e-17,0.9999968,4.0047932e-10,1.0,0.94043314,1.0
2024-10-13,2.055905e-27,1.7708993e-07,1.1581701e-26,4.425322e-11,1.4508376e-07,5.0575517e-14
2024-12-02,1.0,0.050571214,1.22043e-08,0.8680602,1.0,0.9889782
2024-09-06,1.9368878e-24,1.0558718e-08,4.931377e-17,9.5187815e-08,1.7098215e-10,1.9554177e-13
2024-03-30,2.1130842e-10,0.99999,0.9838635,0.010428731,0.99999523,1.0
2024-01-01,0.99999976,0.9939904,0.90947825,0.99997985,1.0,1.0
2023-01-01,2.6932264e-11,8.4403444e-05,1.4437954e-07,1.0,1.0,1.0
2024-01-25,0.99999857,0.9999114,0.081772745,0.99999917,1.0,1.0
2024-09-29,2.1183754e-28,1.3827371e-10,2.1260355e-19,2.456359e-14,7.3434224e-11,2.2341563e-11
2020-09-07,2.77383e-38,1.8062381e-10,1.7852939e-21,3.4178966e-18,8.664052e-13,3.1966466e-10
2021-02-13,2.6124427e-14,0.99944586,6.1637923e-13,1.0,1.0,0.9561852
2021-04-15,1.6418079e-19,1.0,0.00022541871,4.536381e-10,2.7419503e-05,0.9999894
2020-07-10,5.2395332e-27,2.5855518e-09,2.8679609e-13,2.7096253e-16,2.7717975e-13,1.0640196e-05
2024-05-13,2.446434e-13,9.593503e-10,3.1091918e-06,7.2016974e-06,0.9999999,1.0
2020-08-27,4.0835384e-29,7.864317e-12,3.4544182e-16,2.126459e-10,6.4072253e-10,7.156169e-13
2022-02-13,0.99581736,0.9999976,0.91858566,0.9999994,1.0,1.0
2022-01-30,0.99997926,0.99999845,0.9988825,0.99999213,1.0,1.0
2021-05-03,4.000181e-05,0.9999722,0.9999999,7.036215e-05,1.0,1.0
2023-10-09,4.8502614e-23,2.4935091e-14,5.2296997e-23,5.9083285e-12,2.4409437e-09,3.6858602e-16
2022-05-25,1.2132502e-21,3.2997848e-11,0.97670096,6.7879755e-09,0.024296798,1.0
2022-07-17,9.8819334e-27,7.0880475e-08,5.4393508e-17,4.220426e-14,1.7422982e-14,4.6278002e-11
2022-02-04,0.9999188,0.9999989,0.99592716,0.99999464,1.0,1.0
2019-05-19,4.7650137e-11,0.99999726,0.21380234,2.1903462e-07,0.7816902,1.0
2021-05-07,9.275943e-08,0.9997212,0.9999994,6.3793115e-05,0.99999976,1.0
2019-08-23,1.2225298e-33,2.1509255e-14,1.0033123e-16,7.389835e-14,4.60118e-13,1.4809232e-05
2021-10-11,5.966842e-28,1.3732755e-13,9.643686e-24,3.2758732e-15,1.4414292e-05,3.359633e-08
2023-01-25,5.5231958e-17,2.4998272e-07,8.797609e-06,0.9999974,0.99999964,1.0
2021-12-20,0.9999995,0.94116086,0.9664158,0.9986952,1.0,1.0
2020-08-17,2.0199707e-15,1.758714e-11,7.252434e-10,8.237321e-11,3.6324575e-11,1.1479167e-08
2020-04-24,0.00028262436,0.99565804,1.0,0.00021111863,0.999995,1.0
2020-06-19,2.7503835e-25,3.310099e-14,2.206656e-13,7.5916546e-16,0.0045055817,1.0
2021-01-25,3.7792006e-07,0.99999857,7.3531e-06,0.99999976,1.0,1.0
2023-03-22,3.628409e-25,0.99948514,2.3411427e-08,0.9066723,4.099401e-07,0.9994729
2021-05-12,2.1752602e-07,0.99999964,0.99983954,4.4673194e-05,1.0,1.0
2019-05-20,1.2988942e-14,0.9999994,0.047137618,4.656824e-08,0.002199819,1.0
2023-12-25,0.9999989,0.0014278895,0.0011194256,0.95727897,1.0,1.0
2023-11-26,0.9971215,1.1596057e-05,1.7474042e-09,0.0012340418,1.0,3.5362995e-05
2022-01-10,0.99964166,0.9994438,0.97569704,0.9999995,1.0,1.0
2019-08-20,7.105335e-30,1.2006524e-15,5.0400133e-15,6.428512e-14,2.7646632e-10,3.360294e-05
2024-11-12,6.782505e-19,0.8538245,1.5506073e-18,6.729969e-11,4.3845066e-06,9.900153e-07
2021-02-17,3.9345e-18,0.99767023,1.000418e-11,0.9999999,0.9999995,0.99923956
2020-11-21,3.5822537e-05,0.9168573,6.825338e-17,9.14175e-09,1.0,2.5772377e-07
2022-02-20,0.99768674,0.99999976,0.27717635,0.9999964,1.0,1.0
2021-04-17,7.35212e-20,0.99988544,0.13821124,5.919527e-13,4.2917617e-07,1.0
2021-08-19,4.105846e-13,3.7569934e-13,2.1327071e-09,4.5031257e-12,0.9991327,0.0034272773
2022-03-27,3.583245e-21,1.0,4.066866e-10,8.125297e-05,3.9235897e-06,0.9999994
2022-08-02,3.8483807e-15,1.4743189e-09,2.393589e-10,5.1138564e-12,2.9800475e-09,1.2226928e-07
2023-10-14,1.5844236e-22,3.852229e-11,1.043884e-25,5.156802e-10,5.2912523e-09,9.1964154e-17
2024-02-27,1.90234e-24,3.8452436e-05,3.3408215e-19,1.8225242e-06,0.00022428889,0.002019475
2020-06-25,5.203521e-27,4.4305073e-11,1.05225785e-14,2.9269885e-16,6.614267e-11,0.022653721
2024-01-07,0.9999995,0.99989843,0.49339476,0.9999995,1.0,1.0
2022-05-20,2.8900446e-22,3.8011528e-11,0.99166745,3.5434526e-09,7.0480737e-06,1.0
2019-11-12,0.006211277,0.018384192,1.103178e-13,3.7165265e-08,1.0,0.02357386
2023-05-14,7.500345e-09,0.06283479,0.99999917,9.536279e-05,0.9999167,1.0
2021-03-25,2.9722805e-21,1.0,1.0065744e-09,5.8546343e-06,0.025524667,1.0
2023-10-24,1.7591102e-22,4.0023375e-12,1.5481795e-24,5.637089e-12,0.027707877,1.238594e-13
2023-10-10,4.204699e-23,1.1616223e-13,3.783022e-25,4.542049e-11,8.7955715e-10,4.694725e-16
2023-02-25,2.3973249e-11,0.004844044,0.55379987,0.9999999,0.99999166,1.0
2024-02-23,2.5920306e-31,0.008594582,1.9101911e-19,4.8543063e-07,2.2585017e-10,0.0003193022
2023-09-08,4.5417724e-22,1.4360966e-08,1.5960748e-17,2.0738106e-14,2.4339374e-13,3.7324102e-16
2019-09-03,4.33373e-34,1.3952435e-11,7.3685136e-21,1.4348482e-19,2.40618e-11,3.1635188e-09
2023-06-20,6.395573e-30,3.0209661e-09,1.1480722e-08,3.263697e-09,2.733587e-16,0.18296579
2024-08-29,3.584952e-22,1.2588253e-05,4.209487e-13,1.6181311e-11,1.2630912e-12,4.121723e-11
2019-07-04,8.20554e-21,1.6799205e-09,7.976214e-11,7.820438e-21,8.81718e-08,0.12920582
2020-03-03,1.6159334e-13,0.999726,4.569374e-05,0.99999976,0.9999908,1.0
2020-09-04,5.2698027e-34,5.226513e-10,1.7194237e-21,2.8113887e-14,1.479399e-11,8.340343e-13
