date,h0,h1,h2,h3,h4,h5,h6
2020-12-05,2.4798602e-17,0.00019601102,0.9896243,0.120967075,0.29159275,1.0,1.2354601e-06
2021-03-19,2.0540707e-12,1.6890848e-08,0.9993179,7.058723e-07,0.997727,8.533851e-12,4.311322e-11
2020-11-06,8.4661114e-13,5.180286e-05,1.524782e-05,1.1317128e-06,8.8937316e-11,1.0,0.9582728
2019-10-11,1.1343839e-10,1.9160919e-15,1.1071538e-09,2.3792107e-07,1.2860375e-19,0.43661404,1.0
2021-09-06,6.011825e-06,2.2074143e-20,9.132862e-09,3.706059e-11,1.8416161e-26,5.4781127e-21,1.0
2024-01-26,3.8474998e-15,0.9999821,0.99910766,0.45231906,0.9999949,0.99944454,1.0480795e-14
2023-09-09,0.9999814,5.3085003e-08,1.1556539e-12,3.0599826e-13,6.462933e-26,9.596489e-17,1.0
2020-06-19,3.20101e-17,4.12029e-16,6.6253564e-10,1.0,5.046393e-18,1.3224129e-13,0.99973327
2019-12-23,1.8614197e-12,0.9999691,0.9999682,0.999987,0.99921155,0.99979883,2.9031502e-14
2022-01-06,1.0555008e-09,0.99999976,0.9997452,0.9869817,0.9999958,0.99998057,6.170545e-13
2020-08-20,0.99999547,2.634681e-10,4.0932316e-10,3.489354e-07,2.069445e-21,4.109712e-15,1.0
2021-07-20,1.3858918e-06,3.9541144e-21,4.3903493e-14,0.00023749736,7.7541945e-28,3.8537347e-19,1.0
2019-06-26,0.0045290273,6.8601066e-17,8.469733e-12,0.99987376,4.3794266e-29,3.2101585e-16,1.0
2020-11-03,1.2028387e-12,6.7371424e-09,1.4652054e-06,7.733242e-06,7.398208e-19,0.9980903,0.99999547
2024-09-13,0.99998367,9.256162e-09,1.7701747e-06,4.770017e-10,2.7947526e-24,6.48357e-13,1.0
2023-12-18,4.0346644e-17,0.999985,0.00034496596,0.007018159,0.99997485,0.9999999,1.4441534e-11
2021-10-10,2.6815488e-12,3.2721823e-19,4.973914e-13,0.0005556486,8.754219e-24,1.4564986e-12,1.0
2023-10-29,5.326107e-08,9.969437e-19,1.3141606e-13,1.4575713e-12,2.5634099e-21,2.0584925e-14,1.0
2024-12-19,6.141636e-13,0.9999325,0.0129168,0.0070056166,0.99963415,1.0,7.465954e-11
2024-02-05,1.6344485e-13,0.08134498,0.97171324,0.00013732648,0.9999906,0.00067209173,2.6653141e-11
2023-11-19,8.757194e-16,1.5707279e-06,8.68097e-14,3.6152161e-09,4.0672906e-11,0.0038775303,0.99999154
2023-05-16,3.2605296e-13,0.4673892,0.92064786,0.9999995,4.6081666e-05,7.01329e-08,2.790946e-11
2022-05-16,5.993386e-16,0.0046905675,2.163768e-05,1.0,6.218443e-09,1.7599255e-11,6.9194164e-12
2020-08-16,1.0,1.2214697e-10,1.1022442e-13,2.290205e-06,1.4858986e-21,7.490271e-19,1.0
2021-02-13,2.937129e-19,2.2061899e-12,0.9440122,2.5878257e-06,0.9999999,0.38966492,1.3831345e-07
2024-03-18,9.8816964e-14,0.001397249,0.27187276,0.08936671,5.4919815e-11,5.773069e-16,2.8487787e-11
2023-05-17,6.673041e-14,0.9996797,0.07753894,0.9999999,0.00016826532,1.3617707e-06,1.549199e-12
2019-09-10,9.9987694e-05,6.1691646e-14,2.7492897e-12,7.4134255e-07,4.5069004e-26,1.0401772e-14,1.0
2023-06-29,0.99998605,3.3493236e-13,2.568158e-09,0.2222445,3.6886375e-20,1.3145019e-20,0.999982
2024-01-03,6.464311e-12,0.9999999,0.9907878,0.5064908,0.99999917,0.99997365,6.404341e-14
2022-09-23,7.066812e-07,6.6384076e-22,3.2212444e-18,7.717092e-08,1.3491137e-19,1.2345901e-15,1.0
2020-08-01,1.0,1.7763914e-13,3.4479095e-07,1.8204852e-07,6.076042e-19,1.3669603e-19,1.0
2019-10-03,4.1228396e-11,6.7379434e-19,7.6560546e-13,4.2539057e-08,1.9171013e-22,5.834318e-08,1.0
2020-05-24,8.298812e-10,0.6501663,0.00022826713,1.0,5.8479888e-08,2.3818632e-09,2.5498813e-11
2023-08-16,0.9956054,4.6521306e-14,1.6499363e-14,7.992722e-11,3.7907503e-25,7.9278163e-22,1.0
2020-07-19,1.0,8.598998e-15,2.3052738e-07,1.2190896e-05,1.7741867e-21,1.7912075e-14,1.0
2019-06-03,4.654335e-09,5.909793e-16,3.0488334e-06,1.0,1.6557598e-17,2.076929e-11,0.99836344
2023-01-18,7.6332847e-19,5.4838154e-05,8.376473e-08,0.99664223,1.0,2.4915142e-05,1.2744689e-10
2019-11-30,4.4370906e-13,0.9976547,0.9996493,0.99970335,0.10418786,0.99910337,7.172844e-12
2020-11-07,3.317023e-12,1.666129e-09,0.0003604065,0.103937216,1.2531948e-12,1.0,0.9044479
2020-06-01,0.0026077256,2.0142221e-12,5.123962e-05,1.0,2.0757199e-16,1.1229793e-16,0.021398343
2019-07-15,0.97350615,1.1796856e-13,9.982641e-12,0.08672772,4.0661153e-28,1.224853e-13,1.0
2022-06-24,0.9999553,5.3233882e-18,9.556749e-08,9.663145e-05,1.88818e-21,1.6703735e-13,1.0
2022-02-22,8.55662e-12,0.48409045,0.9993383,2.6935934e-06,0.9999999,0.9440927,3.6487115e-12
2019-09-26,1.5443305e-07,9.071688e-15,1.937171e-14,5.7838934e-05,1.6244607e-23,9.540977e-08,1.0
2022-12-06,1.3557663e-23,5.481336e-07,2.7458206e-08,0.015539038,0.9975069,0.99999905,0.00035361806
2022-12-18,1.3430999e-20,1.4243794e-06,8.497405e-06,0.06753462,1.0,0.99999785,2.8019594e-08
2022-11-08,2.9583926e-19,6.688122e-12,6.916748e-13,0.99860007,2.1762053e-14,0.010832756,0.99552417
2020-01-02,1.5792058e-12,0.9999989,0.99999344,0.99999607,0.99972934,0.9823522,3.0440657e-14
2019-12-16,5.1845122e-11,0.99984205,0.99991655,0.9999536,0.69510686,0.9999912,1.2889412e-10
2024-05-19,2.679637e-19,1.3389153e-09,1.0253106e-08,0.99999857,1.2265234e-07,1.5391962e-09,3.9534423e-10
