date,h0,h1,h2,h3,h4
2024-11-08,0.47364086,0.6009428,0.47402415,0.51625925,0.5159835
2021-03-06,0.47382718,0.6014592,0.47462523,0.516174,0.5161433
2019-09-28,0.4727244,0.6007283,0.47387,0.5157991,0.51537055
2024-11-18,0.47390342,0.6013801,0.47445825,0.5164624,0.5162723
2023-11-22,0.47386461,0.60145557,0.47458217,0.5163799,0.516225
2021-05-17,0.47397593,0.6016182,0.47472054,0.51646477,0.5163776
2022-01-10,0.47415575,0.6017933,0.47490263,0.5166091,0.51650363
2020-12-16,0.4741201,0.60173774,0.47484866,0.51656383,0.5164605
2021-03-03,0.47368178,0.6012846,0.47451517,0.51604646,0.51602715
2021-05-22,0.47395205,0.60154223,0.4747026,0.5164559,0.5163823
2022-03-02,0.4737377,0.60113704,0.47425795,0.5159853,0.5157999
2019-10-07,0.473154,0.6010176,0.474235,0.5159215,0.5156224
2019-06-28,0.47286606,0.6003686,0.4735315,0.5152127,0.51525736
2020-10-26,0.4737008,0.6013548,0.47461298,0.51627755,0.5162096
2020-07-26,0.4736198,0.6012685,0.47450003,0.51610565,0.5160487
2020-02-17,0.47397882,0.6012433,0.474441,0.51635414,0.51637393
2021-02-10,0.47379497,0.6009799,0.47411898,0.5158214,0.5156305
2021-12-24,0.4741285,0.60176945,0.4748707,0.5165854,0.5164783
2023-06-13,0.4731285,0.60090995,0.4742556,0.51560754,0.5156644
2020-07-10,0.4729551,0.60036206,0.47367585,0.51534086,0.515327
2023-05-09,0.47397715,0.60171247,0.47474536,0.51649356,0.51631933
2024-05-02,0.47391424,0.60130054,0.47442552,0.51637745,0.5163703
2023-04-15,0.47301358,0.6004608,0.47376835,0.5154544,0.5153042
2019-09-15,0.47187793,0.5998862,0.4730283,0.51541454,0.51461625
2020-02-15,0.47403744,0.60129356,0.4744995,0.51641166,0.5164462
2022-09-28,0.47140402,0.5990994,0.4718369,0.51358485,0.5139308
2024-01-27,0.47395247,0.60153496,0.4746482,0.51635325,0.51620144
2022-08-13,0.4721512,0.5997992,0.47281563,0.5147427,0.51465374
2023-10-15,0.47227025,0.59984326,0.47345242,0.5147105,0.5145837
2019-07-05,0.47335854,0.60100424,0.47419232,0.51585454,0.5157767
2022-07-17,0.47268924,0.6003339,0.4734857,0.5149089,0.5151342
2019-05-09,0.47383627,0.60148346,0.47461566,0.5163464,0.51626813
2024-10-09,0.47343856,0.6009059,0.47420985,0.5159654,0.5158148
2024-07-25,0.471861,0.59927666,0.4727194,0.5142923,0.51440287
2021-05-09,0.47386155,0.60138667,0.474544,0.51635116,0.51635027
2021-01-23,0.47397357,0.6014326,0.474555,0.5162729,0.516118
2021-03-22,0.472328,0.5998,0.47318038,0.5146089,0.5145477
2023-10-23,0.47297755,0.60054624,0.47390223,0.5155285,0.51539
2023-10-14,0.4721297,0.59969765,0.47338754,0.5145344,0.51444274
2022-01-28,0.47405678,0.60167456,0.47479856,0.5165021,0.5163846
2020-03-15,0.47385818,0.60139066,0.4745972,0.51627606,0.5161684
2020-02-11,0.47404578,0.6014355,0.47461095,0.5164537,0.5164471
2024-01-25,0.47403127,0.60158265,0.47469115,0.51639575,0.5162615
2024-12-18,0.4740893,0.60165894,0.47465122,0.51658136,0.51642454
2020-06-05,0.47359568,0.60135597,0.47445467,0.5160723,0.5161158
2021-03-01,0.473894,0.60148454,0.47466144,0.516256,0.5161971
2024-02-28,0.47324744,0.60076976,0.47413453,0.515617,0.5154605
2020-01-05,0.4741518,0.6017889,0.47489974,0.5166053,0.5164981
2023-06-19,0.47333795,0.6009189,0.47432047,0.51575816,0.5158054
